Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Guatemala,Latin America and Caribbean,43,6.15,1.287,1.188,0.31,0.631,0.066,0.106,2.562
Kazakhstan,Central and Eastern Europe,44,6.144,1.664,1.491,0.389,0.628,0.149,0.136,1.688
Serbia,Central and Eastern Europe,45,6.144,1.552,1.343,0.424,0.617,0.081,0.246,1.881
Cyprus,Western Europe,46,6.13,1.824,1.224,0.58,0.455,0.05,0.104,1.893
Japan,Eastern Asia,47,6.129,1.825,1.396,0.622,0.556,0.207,0.009,1.513
Croatia,Central and Eastern Europe,48,6.125,1.727,1.455,0.475,0.5,0.003,0.087,1.88
Brazil,Latin America and Caribbean,49,6.125,1.454,1.25,0.387,0.558,0.137,0.131,2.205
El Salvador,Latin America and Caribbean,50,6.122,1.278,1.044,0.383,0.713,0.222,0.079,2.403
Hungary,Central and Eastern Europe,51,6.041,1.754,1.519,0.435,0.501,0.065,0.105,1.663
Argentina,Latin America and Caribbean,52,6.024,1.59,1.388,0.427,0.587,0.082,0.088,1.861
Honduras,Latin America and Caribbean,53,6.023,1.115,1.072,0.341,0.613,0.062,0.189,2.631
Uzbekistan,Central and Eastern Europe,54,6.014,1.227,1.347,0.375,0.74,0.208,0.26,1.856
Malaysia,Southeastern Asia,55,6.012,1.665,1.155,0.385,0.659,0.122,0.222,1.804
Portugal,Western Europe,56,5.968,1.758,1.356,0.537,0.693,0.037,0.031,1.556
South Korea,Eastern Asia,57,5.951,1.853,1.188,0.603,0.446,0.163,0.112,1.587
Greece,Western Europe,58,5.931,1.708,1.247,0.535,0.248,0.097,0.008,2.089
Mauritius,Sub-Saharan Africa,59,5.902,1.589,1.382,0.336,0.574,0.11,0.121,1.79
Thailand,Southeastern Asia,60,5.843,1.515,1.344,0.461,0.624,0.013,0.291,1.594
Mongolia,Eastern Asia,61,5.84,1.379,1.494,0.244,0.425,0.058,0.239,2.001
Kyrgyzstan,Central and Eastern Europe,62,5.825,1.061,1.439,0.417,0.735,0.018,0.234,1.92
Moldova,Central and Eastern Europe,63,5.819,1.425,1.302,0.375,0.61,0.02,0.093,1.995
China,Eastern Asia,64,5.818,1.51,1.249,0.468,0.666,0.145,0.115,1.666
Vietnam,Southeastern Asia,65,5.763,1.349,1.212,0.381,0.741,0.122,0.134,1.824
Paraguay,Latin America and Caribbean,66,5.738,1.428,1.427,0.392,0.678,0.062,0.148,1.604
Montenegro,Central and Eastern Europe,67,5.722,1.537,1.385,0.424,0.563,0.061,0.17,1.581
Jamaica,Latin America and Caribbean,68,5.703,1.305,1.329,0.411,0.587,0.039,0.079,1.954
Bolivia,Latin America and Caribbean,69,5.684,1.24,1.187,0.329,0.648,0.06,0.103,2.118
Russia,Central and Eastern Europe,70,5.661,1.68,1.383,0.366,0.449,0.091,0.12,1.572
Bosnia and Herzegovina,Central and Eastern Europe,71,5.633,1.467,1.361,0.429,0.485,0.008,0.247,1.635
Colombia,Latin America and Caribbean,72,5.63,1.455,1.213,0.486,0.562,0.068,0.08,1.765
Dominican Republic,Latin America and Caribbean,73,5.569,1.536,1.227,0.351,0.623,0.195,0.083,1.553
Ecuador,Latin America and Caribbean,74,5.559,1.343,1.173,0.476,0.56,0.069,0.079,1.86
Peru,Latin America and Caribbean,75,5.526,1.39,1.153,0.499,0.549,0.027,0.073,1.835
Philippines,Southeastern Asia,76,5.523,1.238,1.108,0.286,0.714,0.141,0.104,1.931
Bulgaria,Central and Eastern Europe,77,5.466,1.635,1.457,0.408,0.557,0.013,0.106,1.289
Nepal,Southern Asia,78,5.36,0.979,1.027,0.281,0.567,0.104,0.215,2.187
Armenia,Central and Eastern Europe,79,5.342,1.466,1.134,0.443,0.551,0.16,0.053,1.534
Tajikistan,Central and Eastern Europe,80,5.33,0.972,1.248,0.291,0.599,0.292,0.104,1.823
Algeria,Middle East and Northern Africa,81,5.329,1.353,1.298,0.409,0.252,0.152,0.073,1.791
Hong Kong S.A.R. of China,Eastern Asia,82,5.308,1.951,1.201,0.702,0.407,0.39,0.123,0.535
Albania,Central and Eastern Europe,83,5.277,1.449,0.951,0.48,0.549,0.037,0.133,1.678
Indonesia,Southeastern Asia,84,5.277,1.384,1.169,0.314,0.663,0.038,0.422,1.288
South Africa,Sub-Saharan Africa,85,5.275,1.417,1.428,0.149,0.464,0.019,0.09,1.708
Congo (Brazzaville),Sub-Saharan Africa,86,5.267,0.921,0.665,0.145,0.464,0.136,0.134,2.802
North Macedonia,Central and Eastern Europe,87,5.254,1.498,1.171,0.408,0.515,0.02,0.207,1.435
Venezuela,Latin America and Caribbean,88,5.211,0,1.257,0.341,0.369,0.084,0.205,2.955
Laos,Southeastern Asia,89,5.111,1.232,0.853,0.257,0.715,0.162,0.185,1.707
Georgia,Central and Eastern Europe,90,5.109,1.477,0.947,0.366,0.539,0.201,0,1.58
Guinea,Sub-Saharan Africa,91,5.072,0.844,0.776,0.072,0.369,0.102,0.204,2.705
Ukraine,Central and Eastern Europe,92,5.071,1.358,1.354,0.355,0.551,0.016,0.265,1.172
Ivory Coast,Sub-Saharan Africa,93,5.053,1.094,0.584,0.12,0.467,0.131,0.138,2.519
Gabon,Sub-Saharan Africa,94,5.035,1.438,1.021,0.183,0.346,0.102,0.036,1.908
Nigeria,Sub-Saharan Africa,95,4.981,1.065,1.007,0.092,0.448,0.013,0.176,2.181
Cameroon,Sub-Saharan Africa,96,4.973,0.965,0.871,0.118,0.405,0.059,0.144,2.411
Mozambique,Sub-Saharan Africa,97,4.954,0.57,0.885,0,0.625,0.192,0.161,2.519
Iraq,Middle East and Northern Africa,98,4.941,1.281,0.953,0.324,0.351,0.038,0.134,1.861
State of Palestine,Middle East and Northern Africa,99,4.908,1.144,1.309,0,0.416,0.067,0.065,1.907
Morocco,Middle East and Northern Africa,100,4.903,1.236,0.535,0.337,0.54,0.085,0.013,2.158
Iran,Middle East and Northern Africa,101,4.876,1.465,1.102,0.411,0.281,0.13,0.229,1.259
Senegal,Sub-Saharan Africa,102,4.855,0.943,0.727,0.231,0.519,0.06,0.142,2.234
Mauritania,Sub-Saharan Africa,103,4.724,1.099,0.764,0.244,0.32,0.195,0.13,1.973
Burkina Faso,Sub-Saharan Africa,104,4.638,0.768,0.814,0.107,0.419,0.113,0.188,2.23
Namibia,Sub-Saharan Africa,105,4.631,1.289,1.126,0.145,0.383,0.071,0.069,1.549
Turkey,Middle East and Northern Africa,106,4.614,1.714,1.148,0.467,0.125,0.096,0.095,0.969
Ghana,Sub-Saharan Africa,107,4.605,1.101,0.756,0.197,0.526,0.035,0.211,1.779
Pakistan,Southern Asia,108,4.555,1.081,0.657,0.158,0.511,0.102,0.141,1.907
Niger,Sub-Saharan Africa,109,4.501,0.561,0.628,0.137,0.54,0.14,0.154,2.341
Tunisia,Middle East and Northern Africa,110,4.497,1.333,0.981,0.422,0.259,0.016,0.022,1.463
Kenya,Sub-Saharan Africa,111,4.487,1.051,0.881,0.19,0.418,0.055,0.291,1.601
Sri Lanka,Southern Asia,112,4.442,1.422,1.224,0.426,0.539,0.086,0.12,0.625
Uganda,Sub-Saharan Africa,113,4.432,0.785,1.144,0.201,0.425,0.051,0.197,1.628
Chad,Sub-Saharan Africa,114,4.397,0.622,0.962,0.043,0.393,0.088,0.255,2.034
Cambodia,Southeastern Asia,115,4.393,1.025,1.024,0.283,0.768,0.051,0.176,1.068
Benin,Sub-Saharan Africa,116,4.374,0.924,0.242,0.124,0.481,0.253,0.114,2.235
Myanmar,Southeastern Asia,117,4.372,1.032,1.125,0.269,0.46,0.194,0.4,0.893
Bangladesh,Southern Asia,118,4.282,1.133,0.513,0.355,0.617,0.165,0.139,1.361
Gambia,Sub-Saharan Africa,119,4.279,0.761,0.614,0.174,0.286,0.033,0.332,2.081
Mali,Sub-Saharan Africa,120,4.198,0.763,0.637,0.106,0.441,0.059,0.121,2.07
Egypt,Middle East and Northern Africa,121,4.17,1.377,0.972,0.326,0.467,0.25,0.038,0.74
Togo,Sub-Saharan Africa,122,4.137,0.77,0.642,0.161,0.367,0.136,0.149,1.913
Jordan,Middle East and Northern Africa,123,4.12,1.292,0.98,0.438,0.517,0.173,0.056,0.663
Ethiopia,Sub-Saharan Africa,124,4.091,0.793,1.114,0.25,0.451,0.101,0.283,1.099
Liberia,Sub-Saharan Africa,125,4.042,0.628,0.644,0.141,0.471,0.071,0.219,1.869
India,Southern Asia,126,4.036,1.159,0.674,0.252,0.685,0.111,0.175,0.979
Madagascar,Sub-Saharan Africa,127,4.019,0.632,0.779,0.178,0.187,0.134,0.177,1.932
Zambia,Sub-Saharan Africa,128,3.982,0.914,0.89,0.095,0.545,0.08,0.189,1.27
Tanzania,Sub-Saharan Africa,129,3.694,0.836,0.787,0.214,0.607,0.269,0.234,0.747
Comoros,Sub-Saharan Africa,130,3.545,0.914,0.327,0.215,0.117,0.145,0.129,1.699
Malawi,Sub-Saharan Africa,131,3.495,0.637,0.479,0.189,0.49,0.129,0.139,1.432
Botswana,Sub-Saharan Africa,132,3.435,1.471,1.041,0.087,0.48,0.071,0.021,0.264
Congo (Kinshasa),Sub-Saharan Africa,133,3.207,0.531,0.784,0.105,0.375,0.068,0.183,1.162
Zimbabwe,Sub-Saharan Africa,134,3.204,0.758,0.881,0.069,0.363,0.117,0.112,0.905
Sierra Leone,Sub-Saharan Africa,135,3.138,0.67,0.54,0.092,0.371,0.051,0.193,1.221
Lebanon,Middle East and Northern Africa,136,2.392,1.417,0.476,0.398,0.123,0.027,0.061,-0.11
Afghanistan,Southern Asia,137,1.859,0.645,0,0.087,0,0.059,0.093,0.976
